Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 1 (Female),0.1,3414,3416,01:54,01:54
WingExt,Fly 0 (Male),0.1,3417,3419,01:54,01:54
WingExt,Fly 1 (Female),0.2,3445,3450,01:55,01:55
WingExt,Fly 1 (Female),0.1,3469,3471,01:56,01:56
Circling,Fly 1 (Female),0.867,3491,3516,01:56,01:57
WingExt,Fly 0 (Male),0.1,3526,3528,01:58,01:58
WingExt,Fly 1 (Female),0.267,3538,3545,01:58,01:58
Circling,Fly 0 (Male),0.567,3554,3570,01:58,01:59
Circling,Fly 1 (Female),0.4,3569,3580,01:59,01:59
WingExt,Fly 0 (Male),0.1,3579,3581,01:59,01:59
Circling,Fly 1 (Female),0.5,3582,3596,01:59,02:00
WingExt,Fly 0 (Male),0.2,3584,3589,01:59,02:00
Circling,Fly 0 (Male),0.9,3591,3617,02:00,02:01
WingExt,Fly 0 (Male),0.1,3624,3626,02:01,02:01
Circling,Fly 1 (Female),0.467,3629,3642,02:01,02:01
Circling,Fly 0 (Male),0.367,3640,3650,02:01,02:02
WingExt,Fly 1 (Female),0.1,3649,3651,02:02,02:02
WingExt,Fly 1 (Female),0.467,3671,3684,02:02,02:03
WingExt,Fly 0 (Male),0.233,3688,3694,02:03,02:03
WingExt,Fly 0 (Male),0.333,3696,3705,02:03,02:04
Circling,Fly 1 (Female),0.533,3701,3716,02:03,02:04
WingExt,Fly 0 (Male),0.133,3710,3713,02:04,02:04
WingExt,Fly 1 (Female),0.233,3729,3735,02:04,02:04
WingExt,Fly 0 (Male),0.267,3735,3742,02:04,02:05
WingExt,Fly 0 (Male),0.233,3749,3755,02:05,02:05
WingExt,Fly 0 (Male),0.1,3760,3762,02:05,02:05
WingExt,Fly 1 (Female),0.1,3764,3766,02:05,02:06
WingExt,Fly 0 (Male),0.133,3791,3794,02:06,02:06
WingExt,Fly 0 (Male),0.1,3818,3820,02:07,02:07
Circling,Fly 1 (Female),0.367,3839,3849,02:08,02:08
WingExt,Fly 1 (Female),0.133,3869,3872,02:09,02:09
Circling,Fly 0 (Male),0.3,3872,3880,02:09,02:09
WingExt,Fly 1 (Female),0.167,3898,3902,02:10,02:10
WingExt,Fly 1 (Female),0.267,3959,3966,02:12,02:12
WingExt,Fly 1 (Female),0.1,3996,3998,02:13,02:13
WingExt,Fly 1 (Female),0.1,4008,4010,02:14,02:14
WingExt,Fly 0 (Male),0.133,4022,4025,02:14,02:14
WingExt,Fly 1 (Female),0.167,4044,4048,02:15,02:15
WingExt,Fly 1 (Female),0.133,4070,4073,02:16,02:16
WingExt,Fly 1 (Female),0.1,4097,4099,02:17,02:17
WingExt,Fly 1 (Female),0.133,4118,4121,02:17,02:17
WingExt,Fly 0 (Male),0.1,4125,4127,02:18,02:18
WingExt,Fly 0 (Male),0.1,4129,4131,02:18,02:18
WingExt,Fly 1 (Female),0.1,4132,4134,02:18,02:18
WingExt,Fly 1 (Female),0.133,4137,4140,02:18,02:18
