Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 1 (Male),0.133,3348,3351,01:52,01:52
WingExt,Fly 0 (Female),0.1,3352,3354,01:52,01:52
WingExt,Fly 0 (Female),0.1,3404,3406,01:53,01:54
WingExt,Fly 1 (Male),0.1,3410,3412,01:54,01:54
WingExt,Fly 1 (Male),0.167,3436,3440,01:55,01:55
WingExt,Fly 0 (Female),0.1,3441,3443,01:55,01:55
WingExt,Fly 0 (Female),0.133,3448,3451,01:55,01:55
WingExt,Fly 1 (Male),0.2,3455,3460,01:55,01:55
WingExt,Fly 0 (Female),0.167,3461,3465,01:55,01:56
WingExt,Fly 1 (Male),0.3,3469,3477,01:56,01:56
WingExt,Fly 0 (Female),0.133,3482,3485,01:56,01:56
WingExt,Fly 0 (Female),0.133,3504,3507,01:57,01:57
WingExt,Fly 0 (Female),0.1,3512,3514,01:57,01:57
WingExt,Fly 1 (Male),0.133,3521,3524,01:57,01:57
WingExt,Fly 0 (Female),0.1,3537,3539,01:58,01:58
WingExt,Fly 0 (Female),0.133,3541,3544,01:58,01:58
WingExt,Fly 1 (Male),0.133,3546,3549,01:58,01:58
WingExt,Fly 0 (Female),0.133,3548,3551,01:58,01:58
WingExt,Fly 0 (Female),0.133,3563,3566,01:59,01:59
WingExt,Fly 0 (Female),0.1,3620,3622,02:01,02:01
WingExt,Fly 0 (Female),0.3,3624,3632,02:01,02:01
WingExt,Fly 1 (Male),0.1,3635,3637,02:01,02:01
WingExt,Fly 0 (Female),0.133,3729,3732,02:04,02:04
WingExt,Fly 0 (Female),0.133,3734,3737,02:04,02:05
WingExt,Fly 0 (Female),0.133,3747,3750,02:05,02:05
WingExt,Fly 0 (Female),0.367,3752,3762,02:05,02:05
WingExt,Fly 0 (Female),0.8,3764,3787,02:05,02:06
WingExt,Fly 1 (Male),0.1,3769,3771,02:06,02:06
WingExt,Fly 0 (Female),0.1,3789,3791,02:06,02:06
WingExt,Fly 1 (Male),0.1,3795,3797,02:06,02:07
WingExt,Fly 0 (Female),0.2,3799,3804,02:07,02:07
WingExt,Fly 0 (Female),0.233,3810,3816,02:07,02:07
WingExt,Fly 0 (Female),0.3,3823,3831,02:07,02:08
WingExt,Fly 0 (Female),0.133,3833,3836,02:08,02:08
WingExt,Fly 0 (Female),0.3,3839,3847,02:08,02:08
WingExt,Fly 1 (Male),0.1,3845,3847,02:08,02:08
Circling,Fly 1 (Male),0.567,3867,3883,02:09,02:09
WingExt,Fly 0 (Female),0.167,3879,3883,02:09,02:09
Circling,Fly 0 (Female),0.533,3880,3895,02:09,02:10
WingExt,Fly 0 (Female),0.233,3886,3892,02:10,02:10
Circling,Fly 1 (Male),0.433,3903,3915,02:10,02:10
Circling,Fly 0 (Female),0.467,3920,3933,02:11,02:11
WingExt,Fly 1 (Male),0.1,3924,3926,02:11,02:11
WingExt,Fly 1 (Male),0.1,3929,3931,02:11,02:11
WingExt,Fly 1 (Male),0.133,3941,3944,02:11,02:11
Circling,Fly 1 (Male),0.5,3947,3961,02:12,02:12
WingExt,Fly 0 (Female),0.1,3953,3955,02:12,02:12
Circling,Fly 0 (Female),0.333,3957,3966,02:12,02:12
WingExt,Fly 1 (Male),0.433,3966,3978,02:12,02:13
WingExt,Fly 0 (Female),0.367,3979,3989,02:13,02:13
WingExt,Fly 0 (Female),0.167,3992,3996,02:13,02:13
WingExt,Fly 1 (Male),0.1,3998,4000,02:13,02:13
WingExt,Fly 0 (Female),0.2,4002,4007,02:13,02:14
WingExt,Fly 1 (Male),0.333,4002,4011,02:13,02:14
WingExt,Fly 1 (Male),0.167,4014,4018,02:14,02:14
WingExt,Fly 1 (Male),0.3,4021,4029,02:14,02:14
WingExt,Fly 0 (Female),0.167,4026,4030,02:14,02:14
WingExt,Fly 0 (Female),0.4,4032,4043,02:14,02:15
WingExt,Fly 0 (Female),0.133,4045,4048,02:15,02:15
WingExt,Fly 1 (Male),0.3,4047,4055,02:15,02:15
WingExt,Fly 0 (Female),0.133,4052,4055,02:15,02:15
WingExt,Fly 0 (Female),0.133,4060,4063,02:15,02:15
WingExt,Fly 1 (Male),0.133,4061,4064,02:15,02:15
WingExt,Fly 0 (Female),0.1,4065,4067,02:16,02:16
WingExt,Fly 1 (Male),0.167,4066,4070,02:16,02:16
Circling,Fly 1 (Male),0.333,4076,4085,02:16,02:16
Circling,Fly 0 (Female),0.367,4077,4087,02:16,02:16
WingExt,Fly 1 (Male),0.1,4080,4082,02:16,02:16
WingExt,Fly 1 (Male),0.133,4103,4106,02:17,02:17
Circling,Fly 1 (Male),0.4,4103,4114,02:17,02:17
WingExt,Fly 1 (Male),0.233,4110,4116,02:17,02:17
WingExt,Fly 0 (Female),0.1,4122,4124,02:17,02:17
WingExt,Fly 1 (Male),0.167,4124,4128,02:17,02:18
